SIBOR DATE,SIBOR 1M,SIBOR 3M
2022-04-26,0.67214,1.05606
2022-04-27,0.675,1.05624
2022-04-28,0.67518,1.05679
2022-04-29,0.78554,1.09375
2022-05-04,0.78691,1.1125
2022-05-05,0.78691,1.11071
2022-05-06,0.78876,1.1125
2022-05-09,0.78876,1.1125
2022-05-10,0.78876,1.1125
2022-05-11,0.83251,1.1125
2022-05-12,0.83251,1.1125
2022-05-13,0.83269,1.1125
2022-05-17,0.83304,1.1125
2022-05-18,0.86429,1.225
2022-05-19,0.86464,1.225
2022-05-20,0.86536,1.225
2022-05-23,1.1125,1.33786
2022-05-24,1.1125,1.33786
2022-05-25,1.1125,1.33786
2022-05-26,1.1125,1.33786
2022-05-27,1.1125,1.33786
2022-05-30,1.11286,1.33786
2022-05-31,1.11393,1.33786
2022-06-01,1.11393,1.33786
2022-06-02,1.11357,1.33786
2022-06-03,1.11357,1.33786
2022-06-06,1.11357,1.33786
2022-06-07,1.11357,1.33786
2022-06-08,1.11357,1.33786
2022-06-09,1.11357,1.33786
2022-06-10,1.11571,1.33786
2022-06-13,1.11643,1.33786
2022-06-14,1.16607,1.33786
2022-06-15,1.3075,1.5625
2022-06-16,1.30929,1.56357
2022-06-17,1.30929,1.56357
2022-06-20,1.30929,1.56357
2022-06-21,1.30929,1.56357
2022-06-22,1.30929,1.56357
2022-06-23,1.34226,1.56357
2022-06-24,1.34321,1.56357
2022-06-27,1.34369,1.56357
2022-06-28,1.6625,1.9125
2022-06-29,1.6625,1.9125
2022-06-30,1.6625,1.9125
2022-07-01,1.6625,1.9125
2022-07-04,1.6625,1.9125
2022-07-05,1.6625,1.9125
2022-07-06,1.6625,1.91357
2022-07-07,1.66286,1.91357
2022-07-08,1.66321,1.91357
2022-07-12,1.66357,1.91357
2022-07-13,1.66429,1.91357
2022-07-14,1.66679,1.91357
2022-07-15,1.78929,2.00822
2022-07-18,1.79036,2.00876
2022-07-19,1.79107,2.00876
2022-07-20,1.79107,2.00876
2022-07-21,1.79107,2.00876
2022-07-22,1.79607,2.00876
2022-07-25,1.79643,2.00876
2022-07-26,1.79643,2.00876
2022-07-27,1.79643,2.00876
2022-07-28,2.34821,2.53214
2022-07-29,2.31071,2.47714
2022-08-01,2.30679,2.47571
2022-08-02,2.30679,2.47571
2022-08-03,2.31125,2.47571
2022-08-04,2.31125,2.47571
2022-08-05,2.30679,2.47786
2022-08-08,2.30679,2.47786
2022-08-10,2.30679,2.47786
2022-08-11,2.30679,2.47786
2022-08-12,2.30679,2.47786
2022-08-15,2.30679,2.47786
2022-08-16,2.30679,2.47786
2022-08-17,2.30679,2.47786
2022-08-18,2.30679,2.5575
2022-08-19,2.30679,2.55839
2022-08-22,2.30679,2.55839
2022-08-23,2.30679,2.55875
2022-08-24,2.30679,2.55911
2022-08-25,2.30679,2.55946
2022-08-26,2.33124,2.67001
2022-08-29,2.33124,2.67054
2022-08-30,2.33124,2.6709
2022-08-31,2.33124,2.6709
2022-09-01,2.33124,2.6709
2022-09-02,2.33124,2.67126
2022-09-05,2.33124,2.67161
2022-09-06,2.33124,2.67197
2022-09-07,2.33143,2.67233
2022-09-08,2.33214,2.67269
2022-09-09,2.33286,2.67304
2022-09-12,2.33357,2.6734
2022-09-13,2.33429,2.67376
2022-09-14,2.39178,2.76231
2022-09-15,2.39643,2.80964
2022-09-16,2.39732,2.81536
2022-09-19,2.39732,2.81089
2022-09-20,2.39732,2.81125
2022-09-21,2.40107,2.81214
2022-09-22,2.69376,3.03286
2022-09-23,2.69376,3.03251
2022-09-26,2.69376,3.03215
2022-09-27,2.825,3.1675
2022-09-28,2.82857,3.16876
2022-09-29,2.82857,3.16876
2022-09-30,2.83214,3.16876
2022-10-03,2.83214,3.16894
2022-10-04,2.83214,3.16983
2022-10-05,3.2119,3.355
2022-10-06,3.25952,3.35626
2022-10-07,3.16821,3.35626
2022-10-10,3.16536,3.38714
2022-10-11,3.16536,3.38786
2022-10-12,3.16536,3.38786
2022-10-13,3.16536,3.38786
2022-10-14,3.6,3.78857
2022-10-17,3.6,3.79679
2022-10-18,3.59857,3.79786
2022-10-19,3.6,3.8
2022-10-20,3.625,3.925
2022-10-21,3.625,3.92429
2022-10-25,3.625,3.92429
2022-10-26,3.625,3.92429
2022-10-27,3.625,3.925
2022-10-28,3.625,3.925
2022-10-31,3.625,3.925
2022-11-01,3.625,3.925
2022-11-02,3.625,3.925
2022-11-03,3.625,3.975
2022-11-04,3.625,3.97571
2022-11-07,3.625,3.97571
2022-11-08,3.625,3.97571
2022-11-09,3.62619,3.97571
2022-11-10,3.6269,3.97571
2022-11-11,3.6269,3.97571
2022-11-14,3.6269,3.97929
2022-11-15,3.6269,3.97929
2022-11-16,3.6269,3.97929
2022-11-17,3.6269,3.97929
2022-11-18,3.64637,4.03429
2022-11-21,3.64726,4.03429
2022-11-22,3.64726,4.03429
2022-11-23,3.69376,4.05965
2022-11-24,3.69376,4.0609
2022-11-25,3.69376,4.06126
2022-11-28,3.69394,4.06126
2022-11-29,3.69394,4.06126
2022-11-30,3.8125,4.17144
2022-12-01,3.81643,4.17161
2022-12-02,3.91786,4.17161
2022-12-05,3.91876,4.17161
2022-12-06,4.02929,4.25179
2022-12-07,4.03107,4.25179
2022-12-08,4.03107,4.25179
2022-12-09,4.03107,4.25143
2022-12-12,4.03107,4.25
2022-12-13,4.03107,4.25107
2022-12-14,4.03107,4.25036
2022-12-15,4.03107,4.25
2022-12-16,4.03107,4.25
2022-12-19,4.03107,4.25
2022-12-20,4.03107,4.25
2022-12-21,4.03107,4.25
2022-12-22,4.03107,4.25
2022-12-23,4.03107,4.25
2022-12-27,4.03107,4.25
2022-12-28,4.03107,4.25
2022-12-29,4.03107,4.25
2022-12-30,4.03107,4.25
2023-01-03,4.03107,4.25
2023-01-04,4.03107,4.25
2023-01-05,4.12571,4.25
2023-01-06,4.13106,4.25
2023-01-09,4.13106,4.25
2023-01-10,4.13106,4.25
2023-01-11,4.13106,4.25
2023-01-12,4.13106,4.25
2023-01-13,4.13106,4.25
2023-01-16,4.13106,4.25
2023-01-17,4.13106,4.25
2023-01-18,4.13106,4.25
2023-01-19,4.13106,4.25
2023-01-20,4.13106,4.25
2023-01-25,4.13106,4.25
2023-01-26,4.13106,4.25
2023-01-27,4.13106,4.25
2023-01-30,4.13106,4.25
2023-01-31,4.13089,4.25
2023-02-01,4.10626,4.25
2023-02-02,4.11803,4.25
2023-02-03,4.08518,4.24857
2023-02-06,4.08124,4.24857
2023-02-07,4.06108,4.24857
2023-02-08,4.00429,4.24857
2023-02-09,3.96143,4.1875
2023-02-10,3.95571,4.1875
2023-02-13,3.95411,4.1875
2023-02-14,3.95429,4.1875
2023-02-15,3.94571,4.1875
2023-02-16,3.965,4.1875
2023-02-17,3.965,4.1875
2023-02-20,3.96571,4.18357
2023-02-21,3.96571,4.18357
2023-02-22,3.965,4.18357
2023-02-23,3.99571,4.18357
2023-02-24,4.08214,4.18643
2023-02-27,4.09107,4.18643
2023-02-28,4.09571,4.18643
2023-03-01,4.09714,4.18643
2023-03-02,4.09857,4.18643
2023-03-03,4.09857,4.18643
2023-03-06,4.09857,4.18643
2023-03-07,4.09857,4.18643
2023-03-08,4.09857,4.18643
2023-03-09,4.09857,4.18643
2023-03-10,4.09857,4.18643
2023-03-13,4.09857,4.1875
2023-03-14,4.09857,4.18643
2023-03-15,4.09857,4.18643
2023-03-16,4.09857,4.18643
2023-03-17,4.09857,4.1875
2023-03-20,4.09857,4.1875
2023-03-21,4.09857,4.1875
2023-03-22,4.09857,4.1875
2023-03-23,4.09857,4.1875
2023-03-24,4.09857,4.1875
2023-03-27,4.09857,4.1875
2023-03-28,4.09857,4.1875
2023-03-29,4.09857,4.1875
2023-03-30,4.09857,4.1875
2023-03-31,4.09714,4.1875
2023-04-03,4.04,4.1875
2023-04-04,4.04,4.1875
2023-04-05,4.04,4.1875
2023-04-06,3.98619,4.18643
2023-04-10,3.96929,4.18643
2023-04-11,3.96571,4.18643
2023-04-12,3.965,4.18643
2023-04-13,3.96571,4.18643
2023-04-14,3.95238,4.18643
2023-04-17,3.95,4.18643
2023-04-18,3.89518,4.18321
2023-04-19,3.89143,4.18179
2023-04-20,3.89,4.18179
2023-04-21,3.94857,4.1825
2023-04-24,3.95,4.0875
2023-04-25,3.95,4.0875
2023-04-26,3.95,4.0875
2023-04-27,3.95,4.0875
2023-04-28,3.95,4.0875
2023-05-02,3.95,4.0875
2023-05-03,3.95,4.0875
2023-05-04,3.95,4.0875
2023-05-05,3.95,4.0875
2023-05-08,3.95,4.0875
2023-05-09,3.95,4.0875
2023-05-10,3.95,4.0875
2023-05-11,3.95,4.08679
2023-05-12,3.95,4.08571
2023-05-15,3.95,4.08571
2023-05-16,3.95,4.08571
2023-05-17,3.95,4.08571
2023-05-18,3.95,4.08571
2023-05-19,3.95,4.08679
2023-05-22,3.95,4.08571
2023-05-23,3.95,4.08571
2023-05-24,3.95,4.0875
2023-05-25,3.95,4.0875
2023-05-26,3.95,4.08821
2023-05-29,3.95,4.08857
2023-05-30,3.95238,4.08893
2023-05-31,3.95238,4.08929
2023-06-01,3.95238,4.08964
2023-06-05,3.95238,4.08964
2023-06-06,3.95238,4.08964
2023-06-07,3.95238,4.08964
2023-06-08,3.95238,4.08929
2023-06-09,3.95238,4.08929
2023-06-12,3.95238,4.08964
2023-06-13,3.95238,4.09
2023-06-14,3.95238,4.09
2023-06-15,3.95238,4.09
2023-06-16,3.95238,4.09
2023-06-19,3.95238,4.08964
2023-06-20,3.95238,4.08929
2023-06-21,3.95238,4.08929
2023-06-22,3.95238,4.08929
2023-06-23,3.95238,4.08929
2023-06-26,3.95238,4.08929
2023-06-27,3.95238,4.08929
2023-06-28,3.95238,4.08929
2023-06-30,3.95238,4.08964
2023-07-03,3.95238,4.08786
2023-07-04,3.95238,4.08786
2023-07-05,3.95238,4.08786
2023-07-06,3.95238,4.08786
2023-07-07,3.95238,4.08786
2023-07-10,3.95238,4.08786
2023-07-11,3.95238,4.08786
2023-07-12,3.95238,4.08786
2023-07-13,3.95238,4.08786
2023-07-14,3.95238,4.08786
2023-07-17,3.95238,4.08786
2023-07-18,3.95238,4.08786
2023-07-19,3.95238,4.08786
2023-07-20,3.95238,4.08786
2023-07-21,3.95238,4.08786
2023-07-24,3.95238,4.08786
2023-07-25,3.95238,4.08786
2023-07-26,3.95238,4.08786
2023-07-27,3.95238,4.08786
2023-07-28,3.95238,4.08786
2023-07-31,3.95238,4.08786
2023-08-01,3.95238,4.08786
2023-08-02,4.025,4.05983
2023-08-03,4,4.05697
2023-08-04,4,4.05697
2023-08-07,4.025,4.05697
2023-08-08,4.025,4.05697
2023-08-10,4.025,4.05697
2023-08-11,4,4.05697
2023-08-14,4,4.05697
2023-08-15,4,4.05697
2023-08-16,4,4.05697
2023-08-17,4,4.05697
2023-08-18,4,4.05697
2023-08-21,4,4.05697
2023-08-22,4,4.05697
2023-08-23,4,4.05697
2023-08-24,4.025,4.05697
2023-08-25,4.025,4.05644
2023-08-28,4.025,4.05644
2023-08-29,4.025,4.05644
2023-08-30,4.025,4.05644
2023-08-31,4.025,4.05644